Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000085,AP3MI332T,SOUTH,ANDHARA PRADESH,ROAP,MISC-D,MISC D,RO/RN,TP,CHOLA,"30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
RAW_000086,AP3PC152P,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV 3W,RO/RN,PKG,CHOLA,17.50%{NT(W/O CPA -2% Less)
RAW_000087,AP3PC152T,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV 3W,RO/RN,TP,CHOLA,12.50%{NT(W/O CPA -2% Less)
RAW_000088,AP3PR142S,SOUTH,ANDHARA PRADESH,ROAP,PRIVATE CAR,PRIVATE CAR,RO/RN,SAOD,CHOLA,20.00%{OD(Above 1500CC - petrol)
RAW_000089,AP3PR142T,SOUTH,ANDHARA PRADESH,ROAP,PRIVATE CAR,PRIVATE CAR,RO/RN,TP,CHOLA,"20.00%{NT(W/O CPA -2% Less - Above 1000CC to 1500CC),20.00%{NT(W/O CPA -2% Less - Above 1500CC)"
RAW_000090,AP3PC182P,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV BUS - STUDENTS,RO/RN,PKG,CHOLA,50.00%{NT(W/O CPA -2% Less)
RAW_000091,AP3PC182T,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV BUS - STUDENTS,RO/RN,TP,CHOLA,50.00%{NT(W/O CPA -2% Less)
RAW_000092,AP3PC172P,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV BUS - STAFF,RO/RN,PKG,CHOLA,42.00%{NT(W/O CPA -2% Less)
RAW_000093,AP3PC172T,SOUTH,ANDHARA PRADESH,ROAP,PCV,PCV BUS - STAFF,RO/RN,TP,CHOLA,42.00%{NT(W/O CPA -2% Less)
RAW_000094,AP3GC242T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - UPTO 2500 GVW,RO/RN,TP,CHOLA,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)"
RAW_000095,AP3GC242P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - UPTO 2500 GVW,RO/RN,PKG,CHOLA,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)"
RAW_000096,AP3GC252P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 2500 TO 3500 GVW,RO/RN,PKG,CHOLA,"47.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),29.50%{NT(W/O CPA -2% Less)"
RAW_000097,AP3GC252T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 2500 TO 3500 GVW,RO/RN,TP,CHOLA,"42.00%{NT(W/O CPA -2% Less - TATA/Maruti/MahindraAce, Super Ace, Yodha, Xenon, Magic, Intra, Super Carry, Mahindra Jeeto,Tractor ,Supro),19.50%{NT(W/O CPA -2% Less)"
RAW_000098,AP32W121P,SOUTH,ANDHARA PRADESH,ROAP,2W,SCOOTER,NEW(1+5),PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - SUZUKI),39.50%{NT(W/O CPA -2% Less - Others),38.50%{NT(W/O CPA -2% Less - Hero),37.00%{NT(W/O CPA -2% Less - TVS),36.00%{NT(W/O CPA -2% Less - Yamaha),34.50%{NT(W/O CPA -2% Less - Honda),30.50%{NT(W/O CPA -2% Less - Bajaj)"
